yearmonth	actor1	actor2	impressionVal	accumulativeVal	deepVal	windowMeanVal	meanVal	interactionVal
201505	USA	CHN	1.9211951762997264	1.8270681795305266	0.9820491837365009	1.509711552166472	1.2450058147047143	2.2369126375475603
201506	USA	CHN	1.9778420127220886	1.649267843376941	1.2134420650930264	1.4255615608811734	1.4232985760735142	3.178666066614951
201507	USA	CHN	2.339303845959719	0.034934388471725177	1.536841805693843	1.477673708726934	1.7647167354025735	2.019712987752969
201508	USA	CHN	2.0209340902979913	0.022369286213612408	1.0404542952439322	1.502855704425948	1.3205518018017568	2.310782510892762
201509	USA	CHN	2.204207833834931	1.6114787158849004	1.386359891748101	1.5651365171019078	1.6101410141013937	12.863161492335827
201510	USA	CHN	2.0718493314017756	1.7750832264999674	1.1746153684722938	1.4537718904211268	1.43062285536023	2.8895990766928157
201511	USA	CHN	2.107016160352849	1.7754213901545441	1.2572804083457305	1.5114544196137125	1.4935993893795139	2.349003955970192
201512	USA	CHN	2.2440865504302367	1.799329934333649	1.3870603781704256	1.5176429704687868	1.628706666666617	1.6855682005767645
201601	USA	CHN	2.298839221897707	1.6359246289138698	1.3722786180930606	1.5855810227697236	1.6344370122630403	2.1441458350997538
201602	USA	CHN	1.9359975253230484	1.636317070739646	0.9905596365630613	1.5064720575009558	1.2562724935732101	5.001314297735039
201603	USA	CHN	2.0105192777564715	1.4556254611025337	1.2378185864662248	1.4468389460717865	1.4498073323791087	2.1360058373625175
201604	USA	CHN	1.986388722921122	1.4784129174793117	1.1704147143880406	1.3694573218810142	1.402292139690724	2.142880700351563
201605	USA	CHN	1.82231051268518	2.715693445858877	1.0048505621405606	1.3619951802932444	1.2338860688098996	1.9485034501841862
201606	USA	CHN	1.764334614126577	1.2575490723470146	1.029820399135092	1.290031524533025	1.2339163650984515	2.3846004081977497
201607	USA	CHN	1.5727603490826576	1.3242635995564813	0.8584864310430564	1.1756585201744394	1.0591731266149673	1.5066744890417207
201608	USA	CHN	1.7749236311475811	1.4094366601474453	1.1407833821326596	1.2032271782322113	1.3165920429832152	1.2472998850898367
201609	USA	CHN	2.117796707694985	1.4118706430929366	1.3866204116718115	1.3237672013745145	1.5955364345253613	3.304995248046859
201610	USA	CHN	2.190025637310387	2.8821843531311826	1.2999655799104795	1.4886473294107387	1.5538135107236395	1.5998730110520774
201611	USA	CHN	2.361739369676922	3.2767138488586656	1.4572648304429723	1.6200588987234898	1.7108267509214694	2.6541440047046088
201612	USA	CHN	1.8964182488330403	3.2765635347805566	0.9249553947429419	1.4882220793066814	1.2000259762749346	5.516075089776524
201701	USA	CHN	1.862264236924523	1.884088834462369	1.1061708283801786	1.4075175851297275	1.3117000281927784	3.3336888295383953
201702	USA	CHN	1.8845658076730842	0.2954140246076967	1.1386926252933942	1.287164414971226	1.349767240445965	2.6543013159466757
201703	USA	CHN	1.9437304789134477	0.4424399011435744	1.1669686257609957	1.3490646218813245	1.3857265970052302	2.1763210961896284
201704	USA	CHN	2.169820542955676	0.2750982585854732	1.3719893738327884	1.444044143427065	1.5966385928300002	7.666865154480724
201705	USA	CHN	2.4089691483406517	0.14679502696897534	1.51008883092739	1.5826200743761536	1.76549503329323	2.5093964622190645
201706	USA	CHN	2.3855934195616917	1.673241306190094	1.3839091005144406	1.6765882120365936	1.6676310099865506	3.3110578462150007
201707	USA	CHN	1.706657095026058	2.6783544119200484	0.7295448959092108	1.478627468716022	1.002756362868285	3.2806852586561837
201708	USA	CHN	1.2681440518042115	2.727409142915444	0.607713709643805	1.1515563063904615	0.7842815463165488	2.1633077541828785
201709	USA	CHN	1.7449019885399062	1.0526461146512123	1.2646287217260155	1.061217553372666	1.3966147509331643	1.8925343637034648
201710	USA	CHN	2.192434240882601	0.2538638765660242	1.457620700313207	1.2844180069423008	1.6723577235771891	1.4495558010281901
201711	USA	CHN	2.568453244950478	2.110797803054637	1.6335385888215121	1.656306099153232	1.8999458229493424	3.211627384909642
201712	USA	CHN	2.2519748242670063	2.114249851299622	1.1795245875855884	1.6854089917638417	1.483923428764994	1.4647850289603213
201801	USA	CHN	1.724516192208797	1.9073654055722893	0.8154819660511359	1.4830443569365996	1.0652638190954622	1.3127162321763046
201802	USA	CHN	1.5929646623419895	0.10271328080814376	0.9259628808350645	1.2189645231982744	1.107706321734367	1.2207388375952952
201803	USA	CHN	1.9664212950708817	1.6144335267828438	1.330307539505954	1.2275258528221256	1.5096074176365477	3.7973736378455327
201804	USA	CHN	2.2363014618793455	1.8420184779749527	1.4107711595293573	1.4218215959450566	1.6481510484642554	5.377257650844119
201805	USA	CHN	2.448167094304233	1.7409821920105935	1.5107640050671511	1.6445912315090734	1.7760152284264175	8.031308547821764
201806	USA	CHN	2.132994208687252	0.4060211469551867	1.1202899235186308	1.6102400175447762	1.4065537757436561	4.889721417946401
201807	USA	CHN	1.8767676428517732	0.1781155675371758	1.0181202949529264	1.4789812552977466	1.2543747617231664	4.817746617827043
201808	USA	CHN	1.5632057524344176	0.32176435914276097	0.818782868633773	1.2289369278930846	1.0258822462124315	5.549153563792026
201809	USA	CHN	1.222600043421572	0.14432903712398013	0.6012664737991348	1.0176690414229201	0.7727501163331624	5.523899460943759
201810	USA	CHN	1.2274615028926217	0.14514725341935864	0.7496952050786256	0.8930468659465616	0.8805082352940907	4.511224696912365
201811	USA	CHN	1.4665314544230053	0.012736998633963109	0.9697914343219997	0.9213578807368211	1.1108152905832103	3.602333797296036
