Tue May  9 17:21:19 2023	Record: 1215 modifications and 2159 deletes made while the cleansing of 20130629 day data.
Tue May  9 17:21:24 2023	Record: 1366 modifications and 2619 deletes made while the cleansing of 20130630 day data.
Tue May  9 17:21:27 2023	Record: 3019 modifications and 2542 deletes made while the cleansing of 20130701 day data.
Tue May  9 17:21:31 2023	Record: 2838 modifications and 5011 deletes made while the cleansing of 20130702 day data.
Tue May  9 17:21:34 2023	Record: 2442 modifications and 4710 deletes made while the cleansing of 20130703 day data.
Tue May  9 17:21:39 2023	Record: 2345 modifications and 3435 deletes made while the cleansing of 20130704 day data.
Tue May  9 17:21:43 2023	Record: 1801 modifications and 3553 deletes made while the cleansing of 20130705 day data.
Tue May  9 17:22:09 2023	Record: 33 moving-out, 620 moving-in and 1148 deletes made while the cleansing of 20130401 day data.
Tue May  9 17:22:11 2023	Record: 34 moving-out, 830 moving-in and 1479 deletes made while the cleansing of 20130402 day data.
Tue May  9 17:22:13 2023	Record: 61 moving-out, 723 moving-in and 1776 deletes made while the cleansing of 20130403 day data.
Tue May  9 17:22:16 2023	Record: 59 moving-out, 568 moving-in and 1503 deletes made while the cleansing of 20130404 day data.
Tue May  9 17:22:17 2023	Record: 37 moving-out, 465 moving-in and 1476 deletes made while the cleansing of 20130405 day data.
Tue May  9 17:22:18 2023	Record: 28 moving-out, 526 moving-in and 903 deletes made while the cleansing of 20130406 day data.
Tue May  9 17:22:20 2023	Record: 53 moving-out, 589 moving-in and 1172 deletes made while the cleansing of 20130407 day data.
Tue May  9 17:22:22 2023	Record: 49 moving-out, 770 moving-in and 1409 deletes made while the cleansing of 20130408 day data.
Tue May  9 17:22:24 2023	Record: 60 moving-out, 711 moving-in and 1805 deletes made while the cleansing of 20130409 day data.
Tue May  9 17:22:26 2023	Record: 39 moving-out, 870 moving-in and 1561 deletes made while the cleansing of 20130410 day data.
Tue May  9 17:22:28 2023	Record: 62 moving-out, 655 moving-in and 1550 deletes made while the cleansing of 20130411 day data.
Tue May  9 17:22:29 2023	Record: 33 moving-out, 495 moving-in and 1203 deletes made while the cleansing of 20130412 day data.
Tue May  9 17:22:31 2023	Record: 61 moving-out, 299 moving-in and 737 deletes made while the cleansing of 20130413 day data.
Tue May  9 17:22:33 2023	Record: 100 moving-out, 499 moving-in and 912 deletes made while the cleansing of 20130414 day data.
Tue May  9 17:22:35 2023	Record: 35 moving-out, 733 moving-in and 1458 deletes made while the cleansing of 20130415 day data.
Tue May  9 17:22:38 2023	Record: 79 moving-out, 772 moving-in and 1258 deletes made while the cleansing of 20130416 day data.
Tue May  9 17:22:39 2023	Record: 41 moving-out, 656 moving-in and 1408 deletes made while the cleansing of 20130417 day data.
Tue May  9 17:22:41 2023	Record: 65 moving-out, 532 moving-in and 1407 deletes made while the cleansing of 20130418 day data.
Tue May  9 17:22:42 2023	Record: 29 moving-out, 403 moving-in and 1090 deletes made while the cleansing of 20130419 day data.
Tue May  9 17:22:44 2023	Record: 54 moving-out, 386 moving-in and 706 deletes made while the cleansing of 20130420 day data.
Tue May  9 17:22:46 2023	Record: 34 moving-out, 532 moving-in and 751 deletes made while the cleansing of 20130421 day data.
Tue May  9 17:22:48 2023	Record: 80 moving-out, 768 moving-in and 1574 deletes made while the cleansing of 20130422 day data.
Tue May  9 17:22:49 2023	Record: 62 moving-out, 702 moving-in and 1666 deletes made while the cleansing of 20130423 day data.
Tue May  9 17:22:52 2023	Record: 67 moving-out, 653 moving-in and 1358 deletes made while the cleansing of 20130424 day data.
Tue May  9 17:22:54 2023	Record: 71 moving-out, 570 moving-in and 1565 deletes made while the cleansing of 20130425 day data.
Tue May  9 17:22:55 2023	Record: 29 moving-out, 485 moving-in and 1099 deletes made while the cleansing of 20130426 day data.
Tue May  9 17:22:57 2023	Record: 19 moving-out, 293 moving-in and 871 deletes made while the cleansing of 20130427 day data.
Tue May  9 17:22:59 2023	Record: 30 moving-out, 406 moving-in and 746 deletes made while the cleansing of 20130428 day data.
Tue May  9 17:23:00 2023	Record: 81 moving-out, 635 moving-in and 1308 deletes made while the cleansing of 20130429 day data.
Tue May  9 17:23:01 2023	Record: 64 moving-out, 599 moving-in and 1446 deletes made while the cleansing of 20130430 day data.
Tue May  9 17:23:03 2023	Record: 37 moving-out, 545 moving-in and 1214 deletes made while the cleansing of 20130501 day data.
Tue May  9 17:23:06 2023	Record: 44 moving-out, 613 moving-in and 1353 deletes made while the cleansing of 20130502 day data.
Tue May  9 17:23:07 2023	Record: 32 moving-out, 540 moving-in and 1260 deletes made while the cleansing of 20130503 day data.
Tue May  9 17:25:09 2023	Record: 33 moving-out, 771 moving-in and 1148 deletes made while the cleansing of 20130401 day data.
Tue May  9 17:25:12 2023	Record: 34 moving-out, 1094 moving-in and 1479 deletes made while the cleansing of 20130402 day data.
Tue May  9 17:25:14 2023	Record: 61 moving-out, 968 moving-in and 1776 deletes made while the cleansing of 20130403 day data.
Tue May  9 17:25:17 2023	Record: 59 moving-out, 670 moving-in and 1503 deletes made while the cleansing of 20130404 day data.
Tue May  9 17:25:20 2023	Record: 37 moving-out, 629 moving-in and 1476 deletes made while the cleansing of 20130405 day data.
Tue May  9 17:25:23 2023	Record: 28 moving-out, 834 moving-in and 903 deletes made while the cleansing of 20130406 day data.
Tue May  9 17:25:25 2023	Record: 53 moving-out, 1063 moving-in and 1172 deletes made while the cleansing of 20130407 day data.
Tue May  9 17:25:28 2023	Record: 49 moving-out, 1095 moving-in and 1409 deletes made while the cleansing of 20130408 day data.
Tue May  9 17:25:30 2023	Record: 60 moving-out, 976 moving-in and 1805 deletes made while the cleansing of 20130409 day data.
Tue May  9 17:25:32 2023	Record: 39 moving-out, 1249 moving-in and 1561 deletes made while the cleansing of 20130410 day data.
Tue May  9 17:25:35 2023	Record: 62 moving-out, 827 moving-in and 1550 deletes made while the cleansing of 20130411 day data.
Tue May  9 17:25:37 2023	Record: 33 moving-out, 682 moving-in and 1203 deletes made while the cleansing of 20130412 day data.
Tue May  9 17:25:41 2023	Record: 61 moving-out, 585 moving-in and 737 deletes made while the cleansing of 20130413 day data.
Tue May  9 17:25:43 2023	Record: 100 moving-out, 818 moving-in and 912 deletes made while the cleansing of 20130414 day data.
Tue May  9 17:25:46 2023	Record: 35 moving-out, 1006 moving-in and 1458 deletes made while the cleansing of 20130415 day data.
